Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Brocard;5023;U55;1939;1990;1990;1990;3;4;128;1;0;5;0;L24022;1939;1943;1999;x
Brosset;5024;U55;1942;1943;1990;1990;2;5;4;2;0;5;0;L24023;1942;1944;1999;x
Bruneau;5025;U55;1939;1990;1990;1990;3;4;128;1;0;4;0;L24024;1939;1941;1999;x
Callies;5026;U55;1942;1945;1990;1990;3;5;4;2;0;5;0;L24025;1942;1960;1999;x
Camerini;5027;U55;1946;1990;1990;1990;3;4;256;1;0;5;0;L24026;1946;1990;1999;x
Carlès;5028;U55;1930;1938;1990;1990;2;3;1;2;0;4;0;L24027;1930;1960;1999;x
Carpentier;5029;U55;1940;1944;1947;1990;3;6;1;3;0;5;0;L24028;1940;1960;1999;x
Catroux;5030;U55;1939;1941;1943;1947;2;6;0;4;0;4;0;L24029;1939;1960;1999;x
Chaban-Delmas;5031;U55;1944;1990;1990;1990;3;3;1;1;0;5;0;L24030;1944;1960;1999;x
Chardigny;5032;U55;1930;1930;1990;1990;2;4;514;1;0;5;0;L24031;1930;1939;1999;x
Chevillon;5033;U55;1942;1946;1990;1990;3;5;1;2;0;5;0;L24032;1942;1960;1999;x
Collet;5034;U55;1941;1944;1990;1990;3;6;257;2;0;5;0;L24033;1941;1945;1999;x
Colson;5035;U55;1930;1930;1930;1990;1;5;2;2;0;2;0;L24034;1930;1960;1999;x
Condé;5036;U55;1930;1930;1930;1990;1;5;514;2;0;5;0;L24035;1930;1960;1999;x
Corap;5037;U55;1930;1930;1938;1990;1;6;2;2;0;5;0;L24036;1930;1960;1999;x
Cornille;5038;U55;1930;1930;1990;1990;2;3;514;1;0;5;0;L24037;1930;1939;1999;x
Crepin-Artu;5039;U55;1943;1990;1990;1990;3;5;4;1;0;4;0;L24038;1943;1960;1999;x
d'Arras;5040;U55;1930;1939;1990;1990;2;4;0;2;0;5;0;L24039;1930;1960;1999;x
d'Harcourt;5041;U55;1943;1990;1990;1990;3;4;256;1;0;4;0;L24040;1943;1960;1999;x
de Bazelaire de Ruppiere;5042;U55;1930;1938;1990;1990;2;4;513;2;0;4;0;L24041;1930;1960;1999;x
de Benouville;5043;U55;1944;1990;1990;1990;3;5;4;1;0;5;0;L24042;1944;1960;1999;x
de Corta;5044;U55;1938;1990;1990;1990;3;3;1;1;0;3;0;L24044;1938;1960;1999;x
de Cugis;5045;U55;1944;1990;1990;1990;3;3;32;1;0;5;0;L24045;1944;1960;1999;x
de Cyvoct;5046;U55;1939;1990;1990;1990;3;3;2;1;0;4;0;L24046;1939;1942;1999;x
de Gaulle;5047;U55;1939;1940;1941;1990;1;8;132;3;0;5;0;L24047;1939;1960;1999;x
de Guillebon;5048;U55;1944;1990;1990;1990;3;4;1;1;0;5;0;L24048;1944;1990;1999;x
de Hesdin;5049;U55;1942;1943;1946;1990;2;5;64;3;0;5;0;L24049;1942;1960;1999;x
de la Porte du Theil;5050;U55;1930;1938;1939;1990;2;4;2;3;0;5;0;L24050;1930;1960;1999;x
de Larminat;5051;U55;1941;1942;1943;1990;1;5;5;3;0;5;0;L24051;1941;1960;1999;x
de Roux;5052;U55;1938;1990;1990;1990;3;5;0;1;0;5;0;L24052;1938;1960;1999;x
de Saint-Maurice;5053;U55;1930;1930;1990;1990;2;3;1;1;0;5;0;L24053;1930;1960;1999;x
de Verdillac;5054;U55;1930;1938;1990;1990;2;5;2;2;0;3;0;L24054;1930;1960;1999;x
Darde;5055;U55;1939;1990;1990;1990;3;3;0;1;0;4;0;L24055;1939;1960;1999;x
Debeney;5056;U55;1937;1990;1990;1990;2;5;514;1;0;3;0;L24056;1937;1946;1999;x
Dejussieu-Pontcarel;5057;U55;1944;1946;1990;1990;3;5;2;2;0;4;0;L24057;1944;1960;1999;x
Delestraint;5058;U55;1930;1939;1990;1990;2;4;128;2;0;5;0;L24058;1930;1960;1999;x
Dentz;5059;U55;1930;1930;1938;1990;1;3;256;2;0;3;0;L24059;1930;1945;1999;x
Desmazes;5060;U55;1930;1939;1990;1990;2;3;0;2;0;4;0;L24060;1930;1960;1999;x
Dio;5061;U55;1941;1990;1990;1990;3;6;257;1;0;5;0;L24061;1941;1944;1999;x
Doumenc;5062;U55;1930;1930;1930;1990;1;3;514;2;0;4;0;L24062;1930;1960;1999;x
Doyen;5063;U55;1930;1939;1990;1990;2;3;128;2;0;4;0;L24063;1930;1960;1999;x
Dubuisson;5064;U55;1930;1930;1939;1990;1;4;0;2;0;3;0;L24065;1930;1960;1999;x
Duclos;5065;U55;1940;1990;1990;1990;3;5;0;1;0;3;0;L24066;1940;1945;1999;x
Dufieux;5066;U55;1930;1930;1930;1990;1;3;514;1;0;5;0;L24067;1930;1938;1999;x
Dunoyer de Segonzac;5067;U55;1938;1990;1990;1990;3;4;1;1;0;3;0;L24068;1938;1960;1999;x
Ely;5068;U55;1944;1947;1990;1990;3;5;4;2;0;5;0;L24069;1944;1960;1999;x
Fagalde;5069;U55;1930;1930;1938;1990;1;4;513;2;0;4;0;L24070;1930;1960;1999;x
Falvy;5070;U55;1938;1939;1990;1990;2;3;1;2;0;4;0;L24071;1938;1960;1999;x
Fayolle;5071;U55;1930;1930;1930;1990;1;4;514;1;0;5;0;L24072;1930;1939;1999;x
Fournier;5072;U55;1930;1930;1990;1990;2;4;514;1;0;5;0;L24073;1930;1960;1999;x
U55ncois  H.N.;5073;U55;1937;1990;1990;1990;3;4;256;1;0;3;0;L24074;1937;1960;1999;x
U55ncois  M.J.;5074;U55;1930;1930;1930;1990;1;3;513;2;0;4;0;9707;1930;1960;1999;x
Gain;5075;U55;1930;1990;1990;1990;3;3;576;1;0;4;0;L24076;1930;1960;1999;x
Gamelin;5076;U55;1930;1930;1930;1990;1;5;514;2;0;5;0;L24077;1930;1960;1999;x
Garbay;5077;U55;1944;1990;1990;1990;3;7;4;1;0;5;0;L24078;1944;1960;1999;x
Garchery;5078;U55;1930;1930;1930;1990;1;4;256;3;0;5;0;L24079;1930;1960;1999;x
Gentil;5079;U55;1942;1990;1990;1990;3;5;16;1;0;4;0;L24080;1942;1944;1999;x
Geoffroy;5080;U55;1946;1990;1990;1990;3;5;288;1;0;5;0;L24081;1946;1960;1999;x
Georges;5081;U55;1930;1930;1930;1990;1;5;2;3;0;5;0;L24082;1930;1960;1999;x
Gillier;5082;U55;1937;1939;1990;1990;2;3;0;2;0;4;0;L24083;1937;1960;1999;x
Giraud;5083;U55;1930;1939;1942;1990;1;6;16;3;0;5;0;L24084;1930;1960;1999;x
Girot de Langlade;5084;U55;1944;1990;1990;1990;3;5;128;1;0;5;0;L24085;1944;1960;1999;x
Glück;5085;U55;1930;1938;1990;1990;2;4;514;1;0;4;0;L24086;1930;1960;1999;x
Goislard de Monsabert;5086;U55;1941;1943;1944;1945;1;6;36;4;0;4;0;L24087;1941;1960;1999;x
Gonzalez de Linares;5087;U55;1943;1945;1990;1990;3;5;4;3;0;5;0;L24088;1943;1960;1999;x
Gravier;5088;U55;1941;1990;1990;1990;3;3;64;1;0;4;0;L24089;1941;1943;1999;x
Grandsard;5089;U55;1930;1937;1939;1990;1;4;0;3;0;5;0;L24090;1930;1960;1999;x
Guillaume;5090;U55;1938;1942;1944;1990;1;5;4;3;0;5;0;L24091;1938;1960;1999;x
Hanoteau;5091;U55;1938;1943;1990;1990;2;4;32;2;0;5;0;L24092;1938;1960;1999;x
Hettier de Boislambert;5092;U55;1942;1990;1990;1990;3;5;4;1;0;5;0;L24093;1942;1945;1999;x
Hubert;5093;U55;1930;1930;1938;1990;1;3;0;2;0;3;0;L24094;1930;1960;1999;x
Huntziger;5094;U55;1930;1930;1930;1990;1;6;3;2;0;2;0;L24095;1930;1960;1999;x
Ihler;5095;U55;1930;1938;1990;1990;2;4;0;2;0;5;0;L24096;1930;1960;1999;x
Ingold;5096;U55;1944;1990;1990;1990;3;4;1;1;0;4;0;L24097;1944;1960;1999;x
Jacob;5097;U55;1945;1990;1990;1990;3;4;4;1;0;5;0;L24098;1945;1960;1999;x
Jeannel;5098;U55;1930;1939;1990;1990;2;3;2;2;0;4;0;L24099;1930;1960;1999;x
Joussé;5099;U55;1944;1946;1990;1990;3;4;4;2;0;5;0;L24100;1944;1960;1999;x
Juin;5100;U55;1938;1940;1941;1942;0;6;132;4;0;5;0;L24101;1938;1960;1999;x
Karcher;5101;U55;1930;1930;1990;1990;2;5;16;1;0;5;0;L24102;1930;1938;1999;x
Keime;5102;U55;1939;1990;1990;1990;3;3;1;1;0;4;0;L24103;1939;1960;1999;x
Kieffer;5103;U55;1944;1990;1990;1990;3;6;256;1;0;5;0;L24104;1942;1960;1999;x
Klopfenstein;5104;U55;1938;1990;1990;1990;3;3;0;1;0;4;0;L24105;1938;1960;1999;x
Koeltz;5105;U55;1937;1939;1943;1990;1;5;4;3;0;4;0;L24106;1937;1960;1999;x
Koenig;5106;U55;1942;1943;1944;1946;1;8;4;4;0;5;0;L24107;1942;1960;1999;x
Le Gentilhomme;5107;U55;1930;1941;1943;1990;1;7;256;3;0;5;0;L24108;1930;1947;1999;x
Lafont Chabert;5108;U55;1930;1930;1930;1990;1;4;128;2;0;4;0;L24109;1930;1960;1999;x
Lalande de la Motte;5109;U55;1946;1990;1990;1990;3;3;4;1;0;4;0;L24110;1946;1960;1999;x
Lamson;5110;U55;1930;1930;1990;1990;2;3;0;1;0;5;0;L24111;1930;1960;1999;x
Lantenois;5111;U55;1941;1990;1990;1990;3;5;1;1;0;5;0;L24112;1941;1945;1999;x
Larbaletrier;5112;U55;1941;1990;1990;1990;3;3;256;1;0;5;0;L24113;1941;1945;1999;x
de Lattre de Tassigny;5113;U55;1939;1941;1943;1945;1;8;16;4;0;5;0;L24114;1939;1960;1999;x
Laure;5114;U55;1930;1930;1938;1990;1;4;2;2;0;5;0;L24115;1930;1946;1999;x
Leclerc de Hauteclocque;5115;U55;1941;1943;1945;1946;2;8;129;4;0;5;0;L24116;1941;1960;1999;x
Lemonnier;5116;U55;1937;1943;1990;1990;2;4;1;2;0;4;0;L24117;1937;1945;1999;x
Magnan;5117;U55;1942;1947;1990;1990;3;5;4;2;0;4;0;L24118;1942;1960;1999;x
Martin;5118;U55;1930;1939;1944;1990;2;5;513;3;0;4;0;L24119;1930;1960;1999;x
Mer;5119;U55;1938;1990;1990;1990;3;3;0;1;0;5;0;L24120;1938;1960;1999;x
Mirambeau;5120;U55;1943;1990;1990;1990;3;4;4;1;0;4;0;L24121;1943;1960;1999;x
Monnet;5121;U55;1942;1945;1990;1990;3;3;64;2;0;4;0;L24122;1942;1960;1999;x
Moyrand;5122;U55;1930;1930;1990;1990;2;4;576;1;0;4;0;L24123;1930;1960;1999;x
Nogues;5123;U55;1930;1930;1930;1990;1;4;514;2;0;4;0;L24124;1930;1960;1999;x
Pagezy;5124;U55;1930;1930;1990;1990;2;3;32;1;0;4;0;L24125;1930;1960;1999;x
Pegur;5125;U55;1930;1930;1990;1990;2;3;514;1;0;5;0;L24126;1930;1938;1999;x
Pretelat;5126;U55;1930;1930;1930;1990;1;5;514;2;0;5;0;L24127;1930;1990;1999;x
Priou;5127;U55;1930;1930;1990;1990;2;5;528;1;0;5;0;L24128;1930;1960;1999;x
Ravanell;5128;U55;1944;1990;1990;1990;3;5;256;1;0;4;0;L24129;1944;1947;1999;x
Repiton-Preneuf;5129;U55;1943;1990;1990;1990;3;4;1;1;0;4;0;L24130;1943;1960;1999;x
Réquin;5130;U55;1930;1930;1930;1990;1;3;2;1;0;4;0;L24131;1930;1939;1999;x
Revers;5131;U55;1940;1942;1943;1990;1;5;0;3;0;4;0;L24132;1940;1960;1999;x
Rodz;5132;U55;1941;1990;1990;1990;3;6;256;2;0;5;0;L24133;1941;1960;1999;x
Rondenay;5133;U55;1930;1930;1990;1990;2;4;528;1;0;2;0;L24134;1930;1960;1999;x
Salan;5134;U55;1944;1947;1990;1990;3;6;257;2;0;5;0;L24135;1944;1960;1999;x
Sevez;5135;U55;1930;1930;1990;1990;2;4;0;1;0;3;0;L24136;1930;1948;1999;x
Simon;5136;U55;1930;1930;1990;1990;2;5;514;1;0;5;0;L24137;1930;1960;1999;x
Soulas;5137;U55;1943;1990;1990;1990;3;4;256;1;0;5;0;L24138;1943;1960;1999;x
Theodore;5138;U55;1938;1990;1990;1990;3;5;64;1;0;5;0;L24139;1938;1943;1999;x
Touchon;5139;U55;1930;1930;1990;1990;2;5;4;1;0;5;0;L24140;1930;1960;1999;x
Touzet du Vigier;5140;U55;1940;1942;1945;1990;2;5;128;3;0;5;0;L24141;1940;1947;1999;x
Vauthier;5141;U55;1938;1940;1990;1990;3;3;0;2;0;5;0;L24142;1938;1942;1999;x
Verneau;5142;U55;1939;1942;1990;1990;2;5;16;2;0;4;0;L24143;1939;1960;1999;x
Weil;5143;U55;1944;1990;1990;1990;3;5;257;1;0;5;0;L24144;1944;1960;1999;x
Weygand;5144;U55;1930;1930;1930;1990;1;6;514;3;0;5;0;L24145;1930;1960;1999;x
Abrial;5145;U55;1930;1939;1940;1990;2;4;4096;3;0;5;1;L24146;1930;1960;1999;x
Auboyneau;5146;U55;1944;1990;1990;1990;3;5;4096;1;0;5;1;L24147;1944;1960;1999;x
Barois;5147;U55;1938;1990;1990;1990;3;4;0;1;0;5;1;L24148;1938;1960;1999;x
Collinet;5148;U55;1940;1942;1990;1990;2;5;0;1;0;5;1;L24149;1940;1960;1999;x
Colmay;5149;U55;1938;1990;1990;1990;3;4;0;1;0;5;1;L24150;1938;1960;1999;x
Darlan;5150;U55;1929;1932;1936;1939;1;6;4096;3;0;5;1;L24151;1929;1943;1957;x
d'Estienne d'Orves;5151;U55;1939;1990;1990;1990;3;3;1024;1;0;5;1;L24152;1939;1941;1999;x
de Geffrier;5152;U55;1941;1990;1990;1990;3;3;0;1;0;5;1;L24153;1941;1960;1999;x
de Laborde;5153;U55;1930;1930;1938;1990;1;3;0;1;0;5;1;L24154;1930;1960;1999;x
de la Noë;5154;U55;1937;1990;1990;1990;3;3;0;1;0;4;1;L24155;1937;1960;1999;x
de la Perrin;5155;U55;1942;1946;1990;1990;3;5;0;2;0;5;1;L24156;1942;1960;1999;x
Decoux;5156;U55;1930;1939;1990;1990;2;5;1536;2;0;4;1;L24157;1930;1960;1999;x
Escudier;5157;U55;1938;1990;1990;1990;3;3;0;1;0;5;1;L24158;1938;1960;1999;x
Esteva;5158;U55;1930;1930;1940;1990;1;4;1024;2;0;4;1;L24159;1930;1960;1999;x
Gensoul;5159;U55;1930;1937;1940;1990;2;6;8192;3;0;5;1;L24160;1930;1942;1999;x
Godfroy;5160;U55;1930;1940;1990;1990;2;3;8704;2;0;5;1;L24161;1930;1943;1999;x
Graziani;5161;U55;1944;1990;1990;1990;3;5;0;1;0;5;1;L24162;1944;1960;1999;x
Kahn;5162;U55;1930;1941;1990;1990;2;5;0;2;0;5;1;L24163;1930;1960;1999;x
Labord;5163;U55;1930;1930;1990;1990;2;3;512;1;0;5;1;L24164;1930;1939;1999;x
Leloup;5164;U55;1939;1990;1990;1990;3;4;0;1;0;5;1;L24165;1939;1960;1999;x
Levasseur;5165;U55;1944;1990;1990;1990;3;5;4096;1;0;5;1;L24166;1944;1960;1999;x
Luc;5166;U55;1930;1939;1990;1990;2;3;0;1;0;5;1;L24167;1930;1960;1999;x
Muselier;5167;U55;1930;1939;1990;1990;2;5;8192;2;0;4;1;L24168;1930;1960;1999;x
Pequin;5168;U55;1942;1990;1990;1990;3;3;1024;1;0;5;1;L24169;1942;1960;1999;x
Richard;5169;U55;1930;1939;1990;1990;2;4;4608;2;0;4;1;L24170;1930;1960;1999;x
Schlumberger;5170;U55;1942;1990;1990;1990;3;4;8192;1;0;5;1;L24171;1942;1960;1999;x
Stosskopf;5171;U55;1930;1990;1990;1990;3;5;0;1;0;5;1;L24172;1930;1943;1999;x
Thierry d'Argenlieu;5172;U55;1942;1944;1946;1990;3;5;0;3;0;4;1;L24173;1942;1960;1999;x
Astier de Vilatte;5173;U55;1943;1947;1990;1990;3;4;16384;2;0;5;2;L24174;1943;1960;1999;x
Ballet;5174;U55;1930;1990;1990;1990;3;4;0;1;0;5;2;L24175;1930;1960;1999;x
Baltus;5175;U55;1937;1990;1990;1990;3;3;0;1;0;5;2;L24176;1937;1960;1999;x
Basset;5176;U55;1930;1943;1990;1990;2;3;0;2;0;5;2;L24177;1930;1960;1999;x
Bergeret;5177;U55;1938;1941;1990;1990;2;4;0;2;0;5;2;L24178;1938;1960;1999;x
Bernard;5178;U55;1944;1990;1990;1990;3;3;0;1;0;4;2;L24179;1944;1960;1999;x
Bissagnet;5179;U55;1941;1990;1990;1990;3;4;32768;1;0;5;2;L24180;1941;1960;1999;x
Bollier;5180;U55;1944;1990;1990;1990;3;3;0;1;0;5;2;L24181;1944;1960;1999;x
Bouscat;5181;U55;1938;1942;1990;1990;2;5;16384;2;0;5;2;L24182;1938;1960;1999;x
Cochet;5182;U55;1940;1943;1945;1990;2;5;32768;3;0;5;2;L24184;1940;1960;1999;x
Crozet;5183;U55;1943;1990;1990;1990;3;3;0;1;0;5;2;L24185;1943;1960;1999;x
d'Arnaud de Vitrolles;5184;U55;1930;1939;1990;1990;2;5;0;2;0;5;2;L24186;1930;1960;1999;x
d'Astier de la Vigerie;5185;U55;1938;1942;1943;1990;1;5;16384;4;0;5;2;L24187;1938;1960;1999;x
de Goys de Mezeyrac;5186;U55;1942;1990;1990;1990;3;3;0;1;0;5;2;L24188;1942;1960;1999;x
de Rancourt;5187;U55;1939;1942;1990;1990;2;3;0;1;0;5;2;L24189;1939;1960;1999;x
Davout d'Auerstadt;5188;U55;1943;1990;1990;1990;3;3;0;1;0;5;2;L24190;1943;1960;1999;x
Dumont;5189;U55;1944;1990;1990;1990;3;5;131072;1;0;5;2;L24191;1944;1990;1999;x
Duseigneur;5190;U55;1930;1939;1990;1990;2;3;0;2;0;5;2;L24192;1930;1960;1999;x
Fourquet;5191;U55;1938;1942;1990;1990;2;3;0;2;0;5;2;L24193;1938;1960;1999;x
Furst;5192;U55;1941;1990;1990;1990;3;3;131072;1;0;5;2;L24194;1941;1960;1999;x
Gary;5193;U55;1943;1990;1990;1990;3;5;4096;1;0;5;2;L24195;1943;1960;1999;x
Gervais;5194;U55;1942;1990;1990;1990;3;3;0;1;0;5;2;L24196;1942;1960;1999;x
Hartemann;5195;U55;1938;1990;1990;1990;3;3;0;1;0;5;2;L24197;1938;1960;1999;x
Jacob;5196;U55;1930;1990;1990;1990;3;3;16384;1;0;5;2;L24198;1930;1960;1999;x
Jannekeyn;5197;U55;1930;1939;1942;1990;2;4;0;3;0;5;2;L24199;1930;1960;1999;x
Jauneaud;5198;U55;1930;1939;1940;1990;2;4;4096;3;0;5;2;L24200;1936;1941;1999;x
Langer;5199;U55;1943;1990;1990;1990;3;5;4096;1;0;5;2;L24201;1943;1960;1999;x
Lasserre;5200;U55;1944;1945;1990;1990;2;6;0;2;0;5;2;L24202;1944;1960;1999;x
Laurens;5201;U55;1930;1937;1990;1990;2;3;0;2;0;5;2;L24203;1930;1960;1999;x
Lecheres;5202;U55;1943;1945;1946;1990;2;5;16384;3;0;5;2;L24204;1943;1960;1999;x
Luguet;5203;U55;1943;1944;1990;1990;3;5;0;2;0;5;2;L24205;1943;1960;1999;x
Luizet;5204;U55;1942;1990;1990;1990;3;5;65536;1;0;5;2;L24206;1942;1960;1999;x
Palewski;5205;U55;1938;1942;1990;1990;2;4;131072;2;0;5;2;L24207;1938;1960;1999;x
Paskewicz;5206;U55;1942;1990;1990;1990;3;3;0;1;0;5;2;L24208;1942;1960;1999;x
Pinsard;5207;U55;1930;1930;1990;1990;2;5;4608;1;0;5;2;L24209;1930;1960;1999;x
Pouliquen;5208;U55;1945;1990;1990;1990;3;5;0;1;0;5;2;L24210;1945;1960;1999;x
Roques;5209;U55;1938;1990;1990;1990;3;3;131072;1;0;5;2;L24211;1938;1960;1999;x
Rossi;5210;U55;1938;1943;1990;1990;2;4;0;2;0;5;2;L24212;1938;1960;1999;x
Rousselot de Saint-Ceran;5211;U55;1938;1942;1990;1990;2;3;0;2;0;5;2;L24213;1938;1960;1999;x
Roussy de Sales;5212;U55;1930;1990;1990;1990;3;3;0;1;0;5;2;L24214;1930;1960;1999;x
Royer de Marancour;5213;U55;1941;1990;1990;1990;3;3;0;1;0;5;2;L24215;1941;1960;1999;x
Savary;5214;U55;1944;1990;1990;1990;3;5;0;1;0;5;2;L24216;1944;1960;1999;x
Sicard;5215;U55;1938;1990;1990;1990;3;3;131072;1;0;5;2;L24217;1938;1960;1999;x
Valin;5216;U55;1930;1930;1943;1990;2;6;4096;3;0;5;2;L24218;1930;1960;1999;x
Vuillemin;5217;U55;1940;1942;1944;1990;2;5;33280;3;0;5;2;L24219;1940;1960;1999;x
Adeline;5218;U55;1945;1990;1990;1990;3;4;32;1;0;5;0;L24220;1945;1960;1999;x
Cazaud;5219;U55;1941;1943;1990;1990;2;6;65;2;0;5;0;L24221;1941;1960;1999;x
Delange;5220;U55;1944;1990;1990;1990;3;5;5;1;0;5;0;L24222;1944;1960;1999;x
de Bricourt;5221;U55;1938;1990;1990;1990;3;5;1;1;0;5;0;L24223;1938;1942;1999;x
Mast;5222;U55;1930;1930;1939;1990;1;5;1;2;0;5;0;L24224;1930;1944;1999;x
Mirkin;5223;U55;1940;1990;1990;1990;3;6;256;1;0;5;0;L24225;1940;1960;1999;x
Nollet;5224;U55;1930;1930;1930;1990;1;4;514;1;0;5;0;L24226;1930;1942;1999;x
Cabanier;5225;U55;1942;1946;1990;1990;2;7;8192;2;0;5;1;L24227;1942;1960;1999;x
Ortoli;5226;U55;1943;1945;1990;1990;2;5;4096;2;0;5;1;L24228;1943;1960;1999;x
Louveau;5227;U55;1930;1990;1990;1990;3;3;0;1;0;5;1;L24229;1930;1960;1999;x
Ginas;5228;U55;1945;1990;1990;1990;3;4;131072;1;0;5;2;L24230;1945;1960;1999;x
de Castelnau;5229;U55;1909;1911;1913;1915;0;6;4;3;0;5;0;444;1909;1932;1999;x
de Langle de Cary;5230;U55;1906;1908;1912;1915;0;5;0;2;0;5;0;445;1906;1917;1999;x
d'Esperey;5231;U55;1911;1913;1914;1916;0;7;4;4;0;5;0;446;1911;1932;1999;x
Dubail;5232;U55;1908;1912;1914;1915;0;6;4;3;0;5;0;447;1908;1916;1999;x
Fayolle;5233;U55;1914;1915;1916;1917;0;6;0;3;0;5;0;448;1914;1932;1999;x
Foch;5234;U55;1911;1913;1914;1915;0;7;6;4;0;5;0;449;1911;1932;1999;x
Joffre;5235;U55;1905;1908;1911;1914;0;7;4;4;0;5;0;450;1905;1917;1999;x
Maistre;5236;U55;1913;1914;1917;1918;0;7;0;4;0;5;0;451;1913;1922;1999;x
Pétain;5237;U55;1913;1914;1915;1917;0;7;2;4;0;5;0;452;1913;1932;1999;x
Weygand;5238;U55;1918;1920;1923;1939;0;7;0;4;0;5;0;L24145;1918;1932;1999;x
Anthoine;5239;U55;1914;1915;1917;1932;1;6;0;3;0;5;0;453;1914;1932;1999;x
Berthelot;5240;U55;1914;1915;1918;1932;1;5;0;2;0;5;0;454;1914;1932;1999;x
Buat;5241;U55;1916;1917;1918;1932;1;5;0;2;0;5;0;455;1916;1932;1999;x
d'Amade;5242;U55;1909;1912;1914;1932;1;5;0;2;0;5;0;456;1909;1932;1999;x
Debeney;5243;U55;1915;1916;1917;1932;1;6;2;3;0;5;0;457;1915;1932;1999;x
Degoutte;5244;U55;1916;1917;1918;1932;1;6;0;3;0;5;0;458;1916;1932;1999;x
Dubois;5245;U55;1909;1913;1915;1932;1;5;4;2;0;5;0;459;1909;1917;1999;x
Duchene;5246;U55;1914;1915;1916;1932;1;6;0;3;0;5;0;460;1914;1932;1999;x
Gallieni;5247;U55;1899;1906;1908;1932;1;7;2;4;0;5;0;461;1899;1916;1999;x
Gérard;5248;U55;1908;1914;1916;1932;1;5;0;2;0;5;0;462;1908;1932;1999;x
Gouraud;5249;U55;1914;1915;1916;1932;1;7;5;4;0;5;0;463;1914;1932;1999;x
Graziani;5250;U55;1917;1918;1919;1932;1;6;0;3;0;5;0;464;1917;1932;1999;x
Guillaumat;5251;U55;1914;1915;1917;1932;1;7;0;4;0;5;0;465;1914;1932;1999;x
Hirschauer;5252;U55;1915;1916;1918;1932;1;5;0;2;0;5;0;466;1915;1932;1999;x
Humbert;5253;U55;1914;1915;1916;1932;1;6;0;3;0;5;0;467;1914;1932;1999;x
Lanrezac;5254;U55;1911;1912;1914;1932;1;5;2;2;0;5;0;468;1911;1915;1999;x
Mangin;5255;U55;1914;1916;1917;1932;1;6;4;3;0;5;0;469;1914;1925;1999;x
Maud'huy;5256;U55;1913;1914;1915;1932;1;6;256;3;0;5;0;470;1913;1921;1999;x
Maunoury;5257;U55;1906;1908;1915;1932;1;6;0;3;0;5;0;471;1906;1923;1999;x
Mazel;5258;U55;1914;1915;1916;1932;1;5;0;2;0;5;0;7387;1914;1932;1999;x
Nivelle;5259;U55;1915;1916;1916;1917;1;6;4;3;0;5;0;472;1915;1918;1999;x
