Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Whitney;1012049;U38;1945;1990;1990;1990;3;5;0;1;0;5;0;u38_whitney;1945;1970;1999;x
Willoughby;1012050;U38;1939;1990;1990;1990;3;5;0;1;0;5;0;u38_willoughby;1939;1970;1999;x
Wood  J.E.;1012051;U38;1939;1990;1990;1990;3;5;0;1;0;5;0;u38_woodje;1939;1970;1999;x
Bennett;1012501;U38;1950;1990;1990;1990;3;5;0;0;0;5;1;u38_bennett;1950;1970;1999;x
Bogan;1012502;U38;1939;1990;1990;1990;3;5;0;1;0;5;1;u38_bogan;1939;1970;1999;x
Burke;1012503;U38;1939;1949;1955;1990;3;5;8192;2;0;5;1;u38_burke;1939;1970;1999;x
Cooke;1012504;U38;1939;1944;1946;1990;2;5;4096;3;0;5;1;u38_cooke;1939;1970;1999;x
Crommelin;1012505;U38;1939;1990;1990;1990;3;5;8192;3;0;5;1;u38_crommelin;1939;1970;1999;x
Denfield;1012506;U38;1939;1943;1990;1990;2;5;2048;2;0;5;1;u38_denfield;1939;1970;1999;x
Freeman;1012507;U38;1939;1942;1990;1990;2;5;512;2;0;5;1;u38_freeman;1939;1970;1999;x
Karo;1012508;U38;1946;1990;1990;1990;3;5;0;0;0;5;1;u38_karo;1946;1970;1999;x
Moreell;1012509;U38;1939;1942;1946;1990;1;5;0;1;0;5;1;u38_moreell;1939;1970;1999;x
Radford;1012510;U38;1939;1945;1948;1990;1;5;8192;3;0;5;1;u38_radford;1939;1970;1999;x
Schindler;1012511;U38;1945;1990;1990;1990;3;5;8192;0;0;5;1;u38_schindler;1945;1970;1999;x
Settle;1012512;U38;1945;1990;1990;1990;3;5;10240;2;0;5;1;u38_settle;1945;1970;1999;x
Spellman;1012513;U38;1939;1990;1990;1990;3;5;1024;1;0;5;1;u38_spellman;1939;1970;1999;x
Standley;1012514;U38;1939;1939;1990;1990;3;7;512;0;0;5;1;u38_standley;1939;1970;1999;x
Strauss;1012515;U38;1945;1990;1990;1990;3;5;2048;2;0;5;1;u38_strauss;1945;1970;1999;x
Stump;1012516;U38;1939;1948;1953;1990;1;5;0;2;0;5;1;u38_stump;1939;1970;1999;x
Ward;1012517;U38;1945;1990;1990;1990;3;5;1024;1;0;5;1;u38_ward;1945;1970;1999;x
Warder;1012518;U38;1946;1990;1990;1990;3;5;1024;2;0;5;1;u38_warder;1946;1970;1999;x
Cannon;1012701;U38;1939;1943;1945;1990;2;9;131072;3;0;5;2;u38_cannon;1939;1955;1999;x
Chennault;1012702;U38;1939;1958;1990;1990;2;7;4096;2;0;5;2;u38_chennault;1939;1970;1999;x
George;1012703;U38;1939;1990;1990;1990;3;5;4096;2;0;5;2;u38_george;1939;1970;1999;x
Harper;1012704;U38;1942;1947;1990;1990;2;5;8192;1;0;5;2;u38_harper;1942;1970;1999;x
Hunter;1012705;U38;1939;1990;1990;1990;3;6;4096;3;0;5;2;u38_hunter;1939;1970;1999;x
Jordan;1012706;U38;1939;1990;1990;1990;3;5;0;0;0;5;2;u38_jordan;1939;1970;1999;x
Lee;1012707;U38;1945;1990;1990;1990;3;5;131072;1;0;5;2;u38_lee;1945;1970;1999;x
LeMay;1012708;U38;1943;1948;1951;1990;1;8;36864;3;0;5;2;u38_lemay;1943;1970;1999;x
Mundy;1012709;U38;1946;1955;1990;1990;2;6;32768;2;0;5;2;u38_mundy;1946;1970;1999;x
Rawlings;1012710;U38;1945;1950;1955;1990;1;5;0;1;0;5;2;u38_rawlings;1945;1970;1999;x
Stone;1012711;U38;1946;1950;1990;1990;2;5;0;2;0;5;2;u38_stone;1946;1970;1999;x
Stratemeyer;1012712;U38;1939;1945;1990;1990;2;5;16384;3;0;5;2;u38_stratemeyer;1939;1970;1999;x
Twining;1012713;U38;1939;1945;1950;1990;1;5;32768;3;0;5;2;u38_twining;1939;1970;1999;x
Weyland;1012714;U38;1943;1945;1990;1990;2;6;16384;2;0;5;2;u38_weyland;1943;1970;1999;x
Whitehead;1012715;U38;1939;1945;1990;1990;3;5;16384;2;0;5;2;u38_whitehead;1939;1970;1999;x
